时间(秒),尿酸(uA),抗坏血酸(uA),葡萄糖（mA）,电压(V),接收时间
0.05,-0.0144,0.1091,-0.5374,-0.09,18:21:59.510
0.1,0.0054,0.1091,-0.6139,-0.1093,18:21:59.573
0.15,-0.0012,0.1091,-0.6945,-0.127,18:21:59.949
0.2,0.0054,0.1091,-0.7741,-0.1448,18:22:00.325
0.25,0.0093,0.1091,-0.8589,-0.1649,18:22:00.704
0.3,0.0093,0.1091,-1.0281,-0.1794,18:22:01.089
0.35,0.0093,0.1434,-1.2143,-0.1996,18:22:01.457
0.4,0.0172,0.1777,-1.4141,-0.2173,18:22:01.839
0.45,0.0172,0.1777,-1.6164,-0.2342,18:22:02.007
0.5,0.0093,0.1777,-1.8275,-0.2544,18:22:02.792
0.55,0.0172,0.1777,-2.0403,-0.2697,18:22:02.797
0.6,0.0093,0.1434,-2.2385,-0.2898,18:22:03.174
0.65,0.0014,0.1091,-2.4215,-0.3043,18:22:03.561
0.7,0.0014,0.1091,-2.6052,-0.3245,18:22:03.931
0.75,0.0014,0.1091,-2.7897,-0.3398,18:22:04.160
0.8,-0.0065,0.1091,-2.9461,-0.3599,18:22:04.531
0.85,0.0014,0.1091,-2.9066,-0.3768,18:22:04.900
0.9,0.0014,0.1091,-2.7559,-0.3946,18:22:05.283
0.95,-0.0065,0.1091,-2.5198,-0.3841,18:22:05.669
1.0,0.0014,0.0748,-2.2039,-0.3688,18:22:06.051
1.05,0.0014,0.0748,-1.8453,-0.3486,18:22:06.436
1.1,0.0014,0.0748,-1.6229,-0.3341,18:22:06.607
1.15,0.0093,0.0748,-1.452,-0.314,18:22:06.977
1.2,0.0093,0.0748,-1.3094,-0.2987,18:22:07.423
1.25,0.0093,0.0748,-1.1692,-0.2793,18:22:07.809
1.3,0.0172,0.0405,-1.0289,-0.2592,18:22:08.192
1.35,0.0172,0.0405,-0.8903,-0.2439,18:22:08.578
1.4,0.0172,0.0062,-0.7549,-0.2237,18:22:08.946
1.45,0.0172,0.0062,-0.6284,-0.2068,18:22:09.330
1.5,0.0172,0.0405,-0.5172,-0.1891,18:22:09.500
1.55,0.0172,0.1091,-0.4245,-0.1689,18:22:10.297
1.6,0.0172,0.1091,-0.348,-0.1536,18:22:10.300
1.65,0.0172,0.1434,-0.2867,-0.1343,18:22:10.670
1.7,0.0251,0.1434,-0.2327,-0.1166,18:22:11.040
1.75,0.0251,0.1434,-0.19,-0.0988,18:22:11.420
1.8,0.0251,0.1091,-0.157,-0.0787,18:22:11.790
1.85,0.0251,0.1091,-0.1288,-0.0642,18:22:12.173
