时间(秒),尿酸(uA),抗坏血酸(uA),葡萄糖（mA）,电压(V),接收时间
0.05,0.7949,0.7949,2.564,-0.0843,16:51:29.796
0.1,-1.3483,-1.3483,2.564,-0.1045,16:51:30.156
0.15,-1.2626,-1.2626,2.564,-0.1198,16:51:30.326
0.2,-1.3912,-1.3912,1.5567,-0.1367,16:51:30.707
0.25,-1.6741,-1.6741,1.7582,-0.1544,16:51:31.077
0.3,-2.5657,-2.5657,1.7582,-0.1722,16:51:31.448
0.35,-2.8057,-2.8057,1.7582,-0.1899,16:51:31.819
0.4,-3.3201,-3.3201,1.7582,-0.1915,16:51:32.189
0.45,-3.3887,-3.3887,2.564,-0.1738,16:51:32.550
0.5,-3.1143,-3.1143,2.564,-0.1568,16:51:32.920
0.55,-2.4628,-2.4628,3.3699,-0.1391,16:51:33.290
0.6,-1.5026,-1.5026,4.1758,-0.1214,16:51:33.651
0.65,-0.5424,-0.5424,3.3699,-0.1045,16:51:33.811
0.7,0.1434,0.1434,4.1758,-0.0892,16:51:34.171
0.75,0.9664,0.9664,4.9816,-0.069,16:51:34.542
0.8,1.5837,1.5837,3.3699,-0.0545,16:51:34.912
0.85,2.2009,2.2009,2.564,-0.0368,16:51:35.263
0.9,2.7839,2.7839,3.3699,-0.019,16:51:35.635
0.95,3.3326,3.3326,2.564,-0.0045,16:51:35.995
1.0,3.8469,3.8469,2.564,0.0156,16:51:36.366
1.05,4.3956,4.3956,3.3699,0.0309,16:51:36.527
1.1,5.5615,5.5615,4.1758,0.0511,16:51:36.897
1.15,6.2131,6.2131,4.1758,0.0656,16:51:37.267
1.2,6.8646,6.8646,4.1758,0.0833,16:51:37.628
1.25,7.4133,7.4133,3.3699,0.101,16:51:38.008
1.3,7.8934,7.8934,2.564,0.1155,16:51:38.388
1.35,7.9277,7.9277,2.564,0.1357,16:51:38.548
1.4,8.3049,8.3049,3.3699,0.151,16:51:38.928
1.45,8.785,8.785,4.1758,0.1687,16:51:39.309
1.5,9.2308,9.2308,4.1758,0.1856,16:51:39.679
1.55,9.7794,9.7794,4.1758,0.2034,16:51:40.030
1.6,10.1909,10.1909,3.3699,0.2211,16:51:40.400
1.65,10.6367,10.6367,2.564,0.238,16:51:40.771
1.7,11.1511,11.1511,0.9523,0.2558,16:51:41.131
1.75,11.5969,11.5969,1.7582,0.2711,16:51:41.301
1.8,12.2142,12.2142,3.3699,0.2912,16:51:41.681
1.85,12.66,12.66,4.1758,0.3057,16:51:42.052
1.9,13.3115,13.3115,4.9816,0.3259,16:51:42.423
1.95,13.8602,13.8602,6.5934,0.3412,16:51:42.803
2.0,14.6146,14.6146,6.5934,0.3605,16:51:43.173
