时间(秒),尿酸(uA),抗坏血酸(uA),葡萄糖（mA）,电压(V),接收时间
0.05,0.0251,0.2806,-0.0458,-0.09,17:26:12.794
0.1,0.0251,0.1948,-0.0639,-0.1069,17:26:13.164
0.15,0.012,0.1663,-0.0847,-0.1246,17:26:13.534
0.2,0.0153,0.1091,-0.1082,-0.1448,17:26:13.905
0.25,0.0172,0.1091,-0.1264,-0.1593,17:26:14.275
0.3,0.0093,0.0748,-0.1675,-0.1794,17:26:14.636
0.35,0.0093,0.0748,-0.207,-0.1971,17:26:15.397
0.4,0.0172,0.1091,-0.2215,-0.1842,17:26:15.397
0.45,0.0172,0.1434,-0.211,-0.1641,17:26:15.778
0.5,0.0172,0.1434,-0.1908,-0.1488,17:26:16.158
0.55,0.0251,0.1434,-0.1505,-0.1295,17:26:16.528
0.6,0.0251,0.0748,-0.1014,-0.1117,17:26:16.899
0.65,0.033,0.0748,-0.0603,-0.094,17:26:17.270
0.7,0.033,0.0748,-0.0281,-0.0763,17:26:17.431
0.75,0.033,0.0748,0.005,-0.0593,17:26:17.810
0.8,0.0409,0.0748,0.0332,-0.0416,17:26:18.181
0.85,0.0409,0.1777,0.067,-0.0239,17:26:18.951
0.9,0.0409,0.1777,0.1017,-0.0045,17:26:18.951
0.95,0.0409,0.1777,0.1355,0.0108,17:26:19.321
1.0,0.0488,0.1777,0.1726,0.0309,17:26:19.672
1.05,0.0488,0.212,0.2056,0.0486,17:26:20.033
1.1,0.0567,0.1777,0.2314,0.0656,17:26:20.393
1.15,0.0567,0.1777,0.25,0.0857,17:26:20.764
1.2,0.0567,0.212,0.2669,0.101,17:26:21.135
1.25,0.0488,0.2463,0.2846,0.1212,17:26:21.506
1.3,0.0409,0.212,0.3056,0.1357,17:26:21.876
1.35,0.033,0.212,0.341,0.1558,17:26:22.237
1.4,0.0251,0.1777,0.399,0.1736,17:26:22.597
1.45,0.033,0.1434,0.4804,0.1905,17:26:22.767
1.5,0.033,0.1091,0.5844,0.2106,17:26:23.539
1.55,0.0251,0.1091,0.7085,0.2259,17:26:23.539
1.6,0.0251,0.1434,0.8511,0.2461,17:26:23.919
1.65,0.033,0.1434,0.9914,0.2606,17:26:24.290
1.7,0.0172,0.1434,1.138,0.2807,17:26:24.660
1.75,0.0172,0.1434,1.271,0.296,17:26:25.022
1.8,0.0251,0.1777,1.408,0.3162,17:26:25.392
1.85,0.033,0.1777,1.5256,0.3307,17:26:25.772
1.9,0.033,0.1777,1.6449,0.3508,17:26:25.933
1.95,0.0488,0.1777,1.7448,0.3662,17:26:26.293
2.0,0.0488,0.1777,1.8423,0.3855,17:26:26.654
2.05,0.0488,0.1777,1.9237,0.4008,17:26:27.014
2.1,0.0409,0.1777,2.0003,0.4185,17:26:27.385
2.15,0.0409,0.212,2.0656,0.4355,17:26:27.756
