时间(秒),尿酸(uA),抗坏血酸(uA),葡萄糖（mA）,电压(V),接收时间
0.05,-73.2529,-108.4249,-2.5399,-0.09,11:15:09.722
0.1,-73.2529,-107.9105,-2.5278,-0.1045,11:15:10.062
0.15,-73.2529,-107.339,-2.5144,-0.1246,11:15:10.402
0.2,-73.2529,-106.7103,-2.5006,-0.1423,11:15:10.774
0.25,-73.2529,-106.0931,-2.4859,-0.1593,11:15:11.117
0.3,-73.2529,-104.8243,-2.4569,-0.1794,11:15:11.288
0.35,-73.2529,-103.5897,-2.4279,-0.1947,11:15:11.629
0.4,-73.2529,-102.3209,-2.3997,-0.2149,11:15:12.295
0.45,-73.2529,-101.3265,-2.3771,-0.2294,11:15:12.328
0.5,-73.2529,-99.9891,-2.3473,-0.2495,11:15:12.668
0.55,-73.2529,-98.7546,-2.3167,-0.2673,11:15:13.007
0.6,-73.2529,-97.4172,-2.2861,-0.285,11:15:13.672
0.65,-73.2529,-96.0798,-2.253,-0.3043,11:15:13.751
0.7,-73.2529,-94.4681,-2.2136,-0.3196,11:15:14.091
0.75,-73.2529,-93.1307,-2.1813,-0.3398,11:15:14.432
0.8,-73.2529,-91.7933,-2.1515,-0.3543,11:15:14.945
0.85,-73.2529,-90.4216,-2.1185,-0.3744,11:15:15.116
0.9,-73.2529,-89.0843,-2.0878,-0.3922,11:15:15.788
0.95,-73.2529,-88.0212,-2.0629,-0.3889,11:15:15.864
1.0,-73.2529,-87.5411,-2.05,-0.3688,11:15:16.204
1.05,-73.2529,-87.3697,-2.0459,-0.3543,11:15:16.546
1.1,-73.2529,-87.7812,-2.0556,-0.3341,11:15:17.209
1.15,-73.2529,-88.5699,-2.0741,-0.3188,11:15:17.210
1.2,-73.2529,-89.6329,-2.0983,-0.2987,11:15:17.877
1.25,-73.2529,-90.5245,-2.1217,-0.2818,11:15:17.955
1.3,-73.2529,-91.5533,-2.1451,-0.264,11:15:18.296
1.35,-73.2529,-92.5134,-2.1684,-0.2439,11:15:18.963
1.4,-73.2529,-93.5079,-2.1926,-0.2294,11:15:19.040
1.45,-73.2529,-94.4338,-2.216,-0.2092,11:15:19.379
1.5,-73.2529,-95.4626,-2.2385,-0.1939,11:15:20.047
1.55,-73.2529,-96.1141,-2.2538,-0.1738,11:15:20.078
1.6,-73.2529,-99.0975,-2.3248,-0.1593,11:15:20.743
1.65,-73.2529,-102.4238,-2.4029,-0.1391,11:15:20.852
1.7,-73.2529,-105.5787,-2.4771,-0.119,11:15:21.192
1.75,-73.2529,-108.5964,-2.548,-0.1037,11:15:21.534
1.8,-73.2529,-112.8486,-2.6495,-0.0843,11:15:22.204
1.85,-73.2529,-114.5632,-2.689,-0.069,11:15:22.310
1.9,-73.2608,-115.7634,-2.7156,-0.0489,11:15:22.651
1.95,-73.2687,-116.9293,-2.7422,-0.0311,11:15:23.021
2.0,-73.2608,-110.4481,-2.5899,-0.0142,11:15:23.361
2.05,-73.2529,-103.0411,-2.4134,0.0059,11:15:24.043
2.1,-73.245,-95.8741,-2.245,0.0212,11:15:24.076
2.2,-73.2292,-89.2214,-2.0878,0.0559,11:15:25.007
2.25,-73.2213,-82.6374,-1.9323,0.076,11:15:26.693
2.3,-73.2292,-83.769,-1.9589,0.0938,11:15:26.695
2.35,-73.2371,-84.8663,-1.9855,0.1107,11:15:26.695
2.4,-73.245,-85.8608,-2.0089,0.1308,11:15:26.695
2.45,-73.2529,-86.5124,-2.025,0.1462,11:15:26.863
2.5,-73.2529,-87.5754,-2.0524,0.1663,11:15:26.894
2.55,-73.2529,-88.3641,-2.0685,0.1808,11:15:27.560
2.6,-73.2529,-89.4958,-2.0951,0.201,11:15:27.590
2.65,-73.2529,-90.6617,-2.1217,0.2187,11:15:28.255
2.7,-73.2529,-91.6561,-2.1451,0.2356,11:15:28.334
2.75,-73.2529,-92.8221,-2.1708,0.2558,11:15:29.001
2.8,-73.2529,-94.228,-2.2063,0.2711,11:15:29.078
2.85,-73.2529,-95.1882,-2.2289,0.2912,11:15:29.417
2.9,-73.2529,-95.9769,-2.2482,0.3057,11:15:29.757
2.95,-73.2529,-96.9028,-2.2708,0.3259,11:15:30.421
3.0,-73.2529,-97.1772,-2.2764,0.3436,11:15:30.592
3.05,-73.2529,-97.3486,-2.2804,0.3613,11:15:30.931
